question,sentence,label,idx
What are more common in other plastids than chloroplasts?,"Stromules are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively.",0,313
How many factors of health and social problems did Wilkinson and PIckett identify?,In recent years the characteristic that has strongly correlated with health in developed countries is income inequality.,1,525
What is the gender income inequality in Bahrain?,"In many countries, there is a Gender pay gap in favor of males in the labor market.",1,2887
How did war start?,"It began with a dispute over control of the confluence of the Allegheny and Monongahela rivers, called the Forks of the Ohio, and the site of the French Fort Duquesne and present-day Pittsburgh, Pennsylvania.",0,4625
What type of technology is the non organic separating of gases?,"The other major method of producing O_2 gas involves passing a stream of clean, dry air through one bed of a pair of identical zeolite molecular sieves, which absorbs the nitrogen and delivers a gas stream that is 90% to 93% O_2.",1,475
Why has Warsaw seen many improvements over the past decade?,"However, over the past decade Warsaw has seen many improvements due to solid economic growth, an increase in foreign investment as well as funding from the European Union.",0,316
In which year did Genghis Khan strike against the Tanguts?,"According to legend, it was here that Genghis Khan reportedly saw a line of five stars arranged in the sky and interpreted it as an omen of his victory.",1,1322
"After the merger between ABC and Capital Cities, who became the vice president of ABC broadcasting?","The merger between ABC and Capital Cities received federal approval on September 5, 1985.",1,4215
Who has expressed distaste for the canonicity of Doctor Who stories by other media?,"Who character by BBC Television in the early 1960s, a myriad of stories have been published about Doctor Who, in different media: apart from the actual television episodes that continue to be produced by the BBC, there have also been novels, comics, short stories, audio books, radio plays, interactive video games, game books, webcasts, DVD extras, and even stage performances.",1,3432
Where did the highwaymen take Luther?,They escorted Luther to the security of the Wartburg Castle at Eisenach.,0,5325
What's Thomas Piketty's job?,"Moreover, Piketty argues that the ""magical"" Kuznets curve hypothesis, with its emphasis on the balancing of economic growth in the long run, cannot account for the significant increase in economic inequality throughout the developed world since the 1970s.",1,1307
How many refugees emigrated to the Dutch Republic?,"In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch Republic in 1715.",1,5435
What equation currently decribes the physics of force.,"This is, of course, difficult to imagine in the context of ""forces"".",1,4951
What kind of bureaucracy did the Normans institute?,"Institutionally, the Normans combined the administrative machinery of the Byzantines, Arabs, and Lombards with their own conceptions of feudal law and order to forge a unique government.",1,423
Most of the museum's collection had been returned by which year?,By 1948 most of the collections had been returned to the museum.,0,3105
How many times had Thomas Davis torn his ACL in his career?,"Carolina suffered a major setback when Thomas Davis, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game.",0,4288
Where did he claim he would transport energy to?,and Kiowa St. He chose this location because the polyphase alternating current power distribution system had been introduced there and he had associates who were willing to give him all the power he needed without charging for it.,1,2939
What Doctor Who actress was nominated for an award in 2016?,"In 2011, Matt Smith became the first Doctor to be nominated for a BAFTA Television Award for Best Actor and in 2016, Michelle Gomez became the first female to receive a BAFTA nomination for the series, getting a Best Supporting Actress nomination for her work as Missy.",0,3308
When was Geegen the emperor?,"They placed Yesün Temür (or Taidingdi) on the throne, and, after an unsuccessful attempt to calm the princes, he also succumbed to regicide.",1,4451
What was the total number of homes Sky announced that had Sky+HD in March of 2012?,"On 31 March 2012, Sky announced the total number of homes with Sky+HD was 4,222,000.",0,640
When did it retract to a inland formation?,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",1,5461
What is the seldom used force unit equal to one thousand newtons?,"Other arcane units of force include the sthène, which is equivalent to 1000 N, and the kip, which is equivalent to 1000 lbf.",0,2579
There are 34 cities in southern California that have a population exceeding what number?,"In southern California there are also twelve cities with more than 200,000 residents and 34 cities over 100,000 in population.",0,980
How many hours can one expect to ride the train from Newcastle to King's Cross?,"Train operator Virgin Trains East Coast provides a half-hourly frequency of trains to London King's Cross, with a journey time of about three hours, these services call at Durham, Darlington, York, Doncaster, Newark North Gate and Peterborough and north to Scotland with all trains calling at Edinburgh and a small number of trains extended to Glasgow, Aberdeen and Inverness.",0,1625
Apollo 17 was significant for what reason?,"Dr. Harrison Schmitt, a geologist, was the first NASA scientist astronaut to fly in space, and landed on the Moon on the last mission, Apollo 17.",0,4669
How long was Warsaw occupied by Germany?,Warsaw was occupied by Germany from 4 August 1915 until November 1918.,0,3461
What is the main reason consulting pharmacists are increasingly working directly with patients?,"This trend may be gradually reversing as consultant pharmacists begin to work directly with patients, primarily because many elderly people are now taking numerous medications but continue to live outside of institutional settings.",0,124
What second part of air was deemed lifeless by Lavoisier?,"He noted that air rushed in when he opened the container, which indicated that part of the trapped air had been consumed.",1,2390
Interest groups and government agencies that were concerned with energy were no match for who?,"In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973.",1,909
Who presented the Edict of Worms declaring Luther to be an outlaw?,""" It also made it a crime for anyone in Germany to give Luther food or shelter.",1,2701
How quickly is the sea level rising?,"In the southern North Sea, due to ongoing tectonic subsidence, the sea level is still rising, at the rate of about 1–3 cm (0.39–1.18 in) per century (1 metre or 39 inches in last 3000 years).",0,1698
How many affiliates carry the ABC network feed in 480i standard definition?,"However, most of Hearst Television's 16 ABC-affiliated stations transmit the network's programming in 1080i HD, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry ABC programming on a digital subchannel or because a primary feed ABC affiliate has not yet upgraded their transmission equipment to allow content to be presented in HD.",0,343
How many total acres is Woodward Park?,"The initial 235 acres (0.95 km2), combined with additional acres acquired later by the City, brings the park to a sizable 300 acres (1.2 km2).",0,1138
What is the oldest Methodist church in continuous use in the United States?,"St. George's United Methodist Church, located at the corner of 4th and New Streets, in the Old City neighborhood of Philadelphia, is the oldest Methodist church in continuous use in the United States, beginning in 1769.",0,3225
What type of theatre is the Warsaw Fotoplastikon?,A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.,1,3785
What is the historic heart of Newcastle?,"Established on classical streets built by Richard Grainger, a builder and developer, between 1835 and 1842, some of Newcastle upon Tyne's finest buildings and streets lie within this area of the city centre including Grainger Market, Theatre Royal, Grey Street, Grainger Street and Clayton Street.",1,4506
What book did Luther translate into German at this time?,Luther's disappearance during his return trip back to Wittenberg was planned.,1,5350
Who claimed that the name Black Death first appeared in 1631?,"Gasquet (1908) claimed that the Latin name atra mors (Black Death) for the 14th-century epidemic first appeared in modern times in 1631 in a book on Danish history by J.I. Pontanus: ""Vulgo & ab effectu atram mortem vocatibant.",0,4023
Why did the European nations and Japan separated themselves from United States during the crisis?,Some European nations and Japan sought to disassociate themselves from United States foreign policy in the Middle East to avoid being targeted by the boycott.,0,546
What was suggested at the Symposium in 1967,"He gave a talk on the proposal in 1966, after which a person from the Ministry of Defence (MoD) told him about Baran's work.",1,5000
"How many Medieval Warm Period reconstructions covered 1,000+ years?","Most reconstructions shared some data series, particularly tree ring data, but newer reconstructions used additional data and covered a wider area, using a variety of statistical methods.",1,1444
What is a complex net of contracts and other legal obligations?,"A construction project is a complex net of contracts and other legal obligations, each of which all parties must carefully consider.",0,3055
Who was Kennedy's science adviser that opposed manned spacecraft flights?,"But even after NASA reached internal agreement, it was far from smooth sailing.",1,415
What parts of a conventional reciprocating steam engine could be replaced by a pistonless rotary engine?,The major problem is the difficulty of sealing the rotors to make them steam-tight in the face of wear and thermal expansion; the resulting leakage made them very inefficient.,1,2698
What is the seldom used force unit equal to one thousand newtons?,"The kilogram-force leads to an alternate, but rarely used unit of mass: the metric slug (sometimes mug or hyl) is that mass that accelerates at 1 m·s−2 when subjected to a force of 1 kgf.",1,67
What are some examples of undesirable end results of a project?,"For this reason, those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome.",1,2136
Who was responsible for the new building projects in Jacksonville?,"Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.",0,92
Newborns are vulnerable to infection because they have no previous exposure to what?,This is passive immunity because the fetus does not actually make any memory cells or antibodies—it only borrows them.,1,2082
Which country was the last to receive the disease?,Finally it spread to northwestern Russia in 1351.,0,2929
Some elements of the Brotherhood directed what action against the government?,"The Brotherhood has suffered periodic repression in Egypt and has been banned several times, in 1948 and several years later following confrontations with Egyptian president Gamal Abdul Nasser, who jailed thousands of members for several years.",1,4151
What two environmental conditions are controlled in the museum?,"Conservation is responsible for the long-term preservation of the collections, and covers all the collections held by the V&A and the V&A Museum of Childhood.",1,1512
What was the name of the Tangut capital?,"At Deshun, the Tangut general Ma Jianlong put up a fierce resistance for several days and personally led charges against the invaders outside the city gate.",1,4529
What resolution were the Eyevision cameras changed to?,"(An earlier version of EyeVision was last used in Super Bowl XXXV; for Super Bowl 50, the cameras were upgraded to 5K resolution.)",0,2152
When did the Egyptian Islamic Jihad assassinate Anwar Sadat?,The path of violence and military struggle was then taken up by the Egyptian Islamic Jihad organization responsible for the assassination of Anwar Sadat in 1981.,0,4075
To what type of organisms is oxygen toxic?,"Oxygen is toxic to obligately anaerobic organisms, which were the dominant form of early life on Earth until O_2 began to accumulate in the atmosphere about 2.5 billion years ago during the Great Oxygenation Event, about a billion years after the first appearance of these organisms.",0,4682
Why was Polonia relegated from the country's top flight in 2013?,"They also won the country’s championship in 1946, and won the cup twice as well.",1,3433
Who was the main performer at this year's halftime show?,It was the third-most watched U.S. broadcast ever.,1,5255
Combs are called what?,"The ""combs"" (also called ""ctenes"" or ""comb plates"") run across each row, and each consists of thousands of unusually long cilia, up to 2 millimeters (0.079 in).",0,3014
In what year was the trial of Rev. Jimmy Creech?,"In April of 2016, a United Methodist bishop made a bold statement by performing a same-sex marriage in church as a clear sign of his advocacy for change.",1,1257
How much money did the committee raise?,"For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl program that provides local companies with contracting opportunities in and around the Super Bowl.",1,4734
For how long did Tesla receive this compensation?,"Starting in 1934, the Westinghouse Electric & Manufacturing Company began paying Tesla $125 per month as well as paying his rent at the Hotel New Yorker, expenses the Company would pay for the rest of Tesla's life.",0,3114
Which caused the reform to never come into force?,"However, as a result of the referendum in France and the referendum in the Netherlands, the 2004 Treaty establishing a Constitution for Europe never came into force.",0,2537
What did Gano hit on his 44-yard field goal attempt?,"But the Broncos defense halted the drive on the 26-yard line, and it ended with no points when Graham Gano hit the uprights on a 44-yard field goal attempt.",0,5074
What educational study did Luther start to pursue and immediately  drop?,"For Luther, reason could be used to question men and institutions, but not God.",1,3576
Article 34 meant states could be responsible for what?,It also means states can be responsible for private actors.,0,59
What was the name of the work to give grants for youth development and other things?,"The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.",0,3843
What decreased in number between 1984 and 1991?,"A number of researchers (David Rodda, Jacob Vigdor, and Janna Matlack), argue that a shortage of affordable housing – at least in the US – is caused in part by income inequality.",1,3728
To what did Martin Luther devote all his attention ?,"Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.",1,3807
When was the announcement for the LOR made after being delayed?,"Kennedy's science advisor Jerome Wiesner, who had expressed his opposition to manned spaceflight to Kennedy before the President took office, and had opposed the decision to land men on the Moon, hired Golovin, who had left NASA, to chair his own ""Space Vehicle Panel"", ostensibly to monitor, but actually to second-guess NASA's decisions on the Saturn V launch vehicle and LOR by forcing Shea, Seamans, and even Webb to defend themselves, delaying its formal announcement to the press on July 11, 1962, and forcing Webb to still hedge the decision as ""tentative"".",0,1117
What was the program in the first Children's program block to be broadcast in HD?,I block Litton's Weekend Aventure,0,1702
Which Carolina Panthers player was named Most Valuable Player?,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP).",0,1352
Of what form do Mersenne primes take?,They are called Mersenne primes in his honor.,1,751
What language did the Court of Justice accept to be required to teach in a Dublin college in Groner v Minister for Education?,"In Groener v Minister for Education the Court of Justice accepted that a requirement to speak Gaelic to teach in a Dublin design college could be justified as part of the public policy of promoting the Irish language, but only if the measure was not disproportionate.",0,1365
Which player recovered possession of the ball in the end zone?,This was the first fumble return touchdown in a Super Bowl since Super Bowl XXVIII at the end of the 1993 season.,1,3802
When did ABC announce the restructure of ABC radio?,"Between May and September 2005, rumors circulated that Disney–ABC was considering a sale of ABC Radio, with Clear Channel Communications and Westwood One (which had earlier purchased NBC's radio division, as well as the distribution rights to CBS's, and the Mutual Broadcasting System during the 1990s) as potential buyers.",1,3875
What is different about Paulinella chromatophora?,"While most chloroplasts originate from that first set of endosymbiotic events, Paulinella chromatophora is an exception that acquired a photosynthetic cyanobacterial endosymbiont more recently.",0,1973
"Besides viniculture, what's a dominant economic sector of the Middle Rhine?","With its outstanding architectural monuments, the slopes full of vines, settlements crowded on the narrow river banks and scores of castles lined up along the top of the steep slopes, the Middle Rhine Valley can be considered the epitome of the Rhine romanticism.",1,5188
How many affiliates did ABC have in 1949?,"For its part, ABC was on the verge of bankruptcy, with only five owned-and-operated stations and nine full-time affiliates.",0,1941
Who were the secondary companions of the Ninth and Tenth Doctors?,"Steven Moffat described the companion as the main character of the show, as the story begins anew with each companion and she undergoes more change than the Doctor.",1,298
Who presents different ideas about how to accomplish goals?,Several D&B contractors present different ideas about how to accomplish these goals.,0,4351
What was the Yuan's paper money called?,"The Yuan minister Bolad was sent to Iran, where he explained Yuan paper money to the Il-khanate court of Gaykhatu.",1,2790
Where was the practice place the Panthers used for the Super Bowl?,The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,1,1339
What was media day called for Super Bowl 50?,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night.",0,2973
What do some community pharmacies do?,"This trend may be gradually reversing as consultant pharmacists begin to work directly with patients, primarily because many elderly people are now taking numerous medications but continue to live outside of institutional settings.",1,1470
Who did Warsaw serve as the seat for in 1529?,"In 1573 the city gave its name to the Warsaw Confederation, formally establishing religious freedom in the Polish–Lithuanian Commonwealth.",1,4911
What is impact melt that some samples of moon rocks show?,Almost all the rocks show evidence of impact process effects.,1,985
"In modern times, what is said about civil disobedience?","Marshall Cohen notes, ""It has been used to describe everything from bringing a test-case in the federal courts to taking aim at a federal official.",1,945
What was Kublai Khan's relation to Genghis Khan?,"In general the legacy of Genghis Khan and his successors, who completed the conquest of China after 65 years of struggle, remains a mixed topic.[citation needed]",1,4377
What Comic Book series did ABC debut in 2013-14?,"The 2013–14 season was a slight improvement for ABC with three new hits in The Goldbergs, Agents of S.H.I.E.L.D. and Resurrection, all of which were renewed; however, that season saw the cancellations of holdovers The Neighbors (which languished in its new Friday time slot despite being bookended by Last Man Standing and Shark Tank) and Suburgatory.",0,583
Tibetan art from which period is represented in the V&A collection?,"Art from Thailand, Burma, Cambodia, Indonesia and Sri Lanka in gold, silver, bronze, stone, terracotta and ivory represents these rich and complex cultures, the displays span the 6th to 19th centuries.",1,291
What is a typical configuration,"Because Frame relay is a data link layer protocol, like X.25 it does not define internal network routing operations.",1,4989
What is being overhauled as part of the improvement works?,"In addition; tracks, signalling and overhead wires are also being overhauled.",0,3792
What is the name of the current King of Thebes in the play?,"She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this.",1,2656
How long does it take to know the outcome of a division?,"As a result, the outcome of each division is known in seconds.",0,1960
How many scalar equations were formed into a set by James Maxwell?,"The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later reformulated into 4 vector equations by Oliver Heaviside and Josiah Willard Gibbs.",0,4224
What happened in 1992 in a UK-wide process?,"Northumbria University has its origins in the Newcastle Polytechnic, established in 1969 and became the University of Northumbria at Newcastle in 1992 as part of the UK-wide process in which polytechnics became new universities.",0,5348
When did income inequality begin to increase in the US?,"Plotting the relationship between level of income and inequality, Kuznets saw middle-income developing economies level of inequality bulging out to form what is now known as the Kuznets curve.",1,4025
The Skylab had what type of equipment onboard that was supposed to be used in a different mission?,The S-IVB orbital workshop was the only one of these plans to make it off the drawing board.,1,4205
What does the currently flooded terrace still have visible?,The contemporary flooded terrace still has visible valleys and ground depressions with water systems coming from the Vistula old – riverbed.,0,2172
What workshop helped with the creation of the Doctor Who theme?,"The original theme was composed by Ron Grainer and realised by Delia Derbyshire of the BBC Radiophonic Workshop, with assistance from Dick Mills.",0,2820
"What did Kenya name itself on December 12, 1964?",The Colony of Kenya and the Protectorate of Kenya each came to an end on 12 December 1963 with independence being conferred on all of Kenya.,1,695
Which species are ribbon-shaped planktonic animals?,"There are two known species, with worldwide distribution in warm, and warm-temperate waters: Cestum veneris (""Venus' girdle"") is among the largest ctenophores – up to 1.5 meters (4.9 ft) long, and can undulate slowly or quite rapidly.",1,1867
What is the kilogram-force sometimes reffered to as?,"The kilogram-force leads to an alternate, but rarely used unit of mass: the metric slug (sometimes mug or hyl) is that mass that accelerates at 1 m·s−2 when subjected to a force of 1 kgf.",1,5046
Who is Methodism's revered founder?,Methodists also honor notable heroes and heroines of the Christian faith and look to these prominent saints as providing examples of holy living and commitment to Christ that are worthy of imitation (see 1 Corinthians 11:1).,1,5147
The Cast Courts display plaster casts of what objects?,"One of these is dominated by a full-scale replica of Trajan's Column, cut in half in order to fit under the ceiling.",1,4753
What is CSNET,"It played a significant role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet.",1,2194
Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations?,"For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil.",1,1653
In which direction does most of the wind in Fresno originate from?,"Most of the wind rose direction occurrences derive from the northwest, as winds are driven downward along the axis of the California Central Valley; in December, January and February there is an increased presence of southeastern wind directions in the wind rose statistics.",0,3968
"To promote accessibility of the works, what did Luther remove?","He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance.""",0,1932
What did Tesla work on in 1888?,"During that year, Tesla worked in Pittsburgh, helping to create an alternating current system to power the city's streetcars.",0,998
In 2004 the Orange revolution occurred in what country?,One of its earliest massive implementations was brought about by Egyptians against the British occupation in the 1919 Revolution.,1,4206
When did British government give land for development of Ohio Country?,"He completed the 1752 Treaty of Logstown in which the local Indians, through their ""Half-King"" Tanacharison and an Iroquois representative, agreed to terms that included permission to build a ""strong house"" at the mouth of the Monongahela River (the site of present-day Pittsburgh, Pennsylvania).",1,580
What underground railways cover much of Tyne and Wear?,"The city is served by the Tyne and Wear Metro, a system of suburban and underground railways covering much of Tyne and Wear.",0,2514
When was 7 Lincoln Square completed?,Both buildings were completed in June 1979.,0,625
Who were the Semuren?,In general there were very few North Chinese or Southerners reaching the highest-post in the government compared with the possibility that Persians did so in the Ilkhanate.,1,5050
How are the particle forces and accelerations explained as by gauge bosons exchange?,"Thus the currently known fundamental forces are considered more accurately to be ""fundamental interactions"".:199–128 When particle A emits (creates) or absorbs (annihilates) virtual particle B, a momentum conservation results in recoil of particle A making impression of repulsion or attraction between particles",1,3460
Where does the Rhine encounter it's tributary the Neckar?,Most of Luxembourg and a very small part of Belgium also drain to the Rhine via the Moselle.,1,2134
Persistent unemployment has what effect on long-term economic growth?,Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.,1,5433
What are two basic primary resources used to guage complexity?,"The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage.",0,458
Who sees a patient after a nurse can not help anymore?,"According to the Kenya National Bureau of Statistics, in 2011 there were 65,000 qualified nurses registered in the country; 8,600 clinical officers and 7,000 doctors for the population of 43 million people (These figures from official registers include those who have died or left the profession hence the actual number of these workers may be lower).",1,4299
"Along with solar, coal and nuclear, what sort of plants notable use the Rankine process?","The cycle is an arrangement of components as is typically used for simple power production, and utilizes the phase change of water (boiling water producing steam, condensing exhaust steam, producing liquid water)) to provide a practical heat/power conversion system.",1,364
Who lost to the Panthers in the divisional round of the playoffs?,"The Panthers then blew out the Arizona Cardinals in the NFC Championship Game, 49–15, racking up 487 yards and forcing seven turnovers.",1,4536
"Motion pictures, petroleum and aircraft manufacturing have been major industries since which decade?","Since the 1920s, motion pictures, petroleum and aircraft manufacturing have been major industries.",0,975
What channel did ABC proposed to compete with cable news company CNN?,"In order to compete with CNN, ABC proposed a 24-hour news channel called ABC Cable News, with plans to launch the network in 1995; however, the plan would ultimately be shelved by company management.",0,914
What previous Super Bowl halftime show did Bruno Mars headline?,"Bruno Mars, who headlined the Super Bowl XLVIII halftime show, and Mark Ronson also performed.",0,2415
What did the Court of Justice say Steymann was entitled to?,"The Court of Justice held that Mr Steymann was entitled to stay, so long as there was at least an ""indirect quid pro quo"" for the work he did.",0,154
Which organization released a California Earthquake forecast?,The USGS has released a California Earthquake forecast which models Earthquake occurrence in California.,0,2557
To what is singlet oxygen more reactive?,It is much more reactive towards common organic molecules than is molecular oxygen per se.,0,4192
Complexity classes are generally classified into what?,"Of course, some complexity classes have complicated definitions that do not fit into this framework.",0,1685
What entity enforces the Charter of Fundamental Rights of the European Union?,"Therefore, the Charter of Fundamental Rights of the European Union has become an integral part of European Union law, codifying the fundamental rights which were previously considered general principles of European Union law.",1,2606
How many types of science fiction have been impacted by Tesla?,The impact of the technologies invented or envisioned by Tesla is a recurring theme in several types of science fiction.,0,161
What advancements besides military technology did Europe achieve?,"European chemists made deadly explosives that could be used in combat, and with innovations in machinery they were able to manufacture improved firearms.",1,1792
What are chares?,"Narrow alleys or 'chares', most of which can only be traversed by foot, still exist in abundance, particularly around the riverside.",0,1510
What is issued once construction is complete and a final inspection has been passed?,"During the construction of a building, the municipal building inspector inspects the building periodically to ensure that the construction adheres to the approved plans and the local building code.",1,1001
Where are some words from the Geordia dialect used?,"""Bairn"" and ""hyem"", meaning ""child"" and ""home"", respectively, are examples of Geordie words with origins in Scandinavia; barn and hjem are the corresponding modern Norwegian and Danish words.",1,4691
Who discovered pottery found on Black Hammock Island?,"On Black Hammock Island in the national Timucuan Ecological and Historic Preserve, a University of North Florida team discovered some of the oldest remnants of pottery in the United States, dating to 2500 BC.",0,1822
"When was the ""Dalekmania"" period?","The first of these was the ""Dalekmania"" period (circa 1964–1965), when the popularity of the Daleks regularly brought Doctor Who ratings of between 9 and 14 million, even for stories which did not feature them.",0,2489
What does the chloroplast peripheral reticulum do?,Its purpose is thought to be to increase the chloroplast's surface area for cross-membrane transport between its stroma and the cell cytoplasm.,0,3328
How are the combs spaced?,"From each balancer in the statocyst a ciliary groove runs out under the dome and then splits to connect with two adjacent comb rows, and in some species runs all the way along the comb rows.",1,3924
When were the Mongols defeated by the Tran?,Professor Liam Kelley noted that people from Song dynasty China like Zhao Zhong and Xu Zongdao fled to Tran dynasty ruled Vietnam after the Mongol invasion of the Song and they helped the Tran fight against the Mongol invasion.,1,2505
Vendobionta lived during which period?,"They suggested that Stromatoveris was an evolutionary ""aunt"" of ctenophores, and that ctenophores originated from sessile animals whose descendants became swimmers and changed the cilia from a feeding mechanism to a propulsion system.",1,1690
How much of a difference in homicide rates are related to inequality?,They estimated that about half of all variation in homicide rates can be accounted for by differences in the amount of inequality in each province or state.,1,3024
Who was Alfred S brown?,"In late 1886 Tesla met Alfred S. Brown, a Western Union superintendent, and New York attorney Charles F. Peck.",0,5380
How many museums comprise Harvard Art Museums?,The Harvard Art Museums comprises three museums.,0,897
What happened as a result of the Russo-Japanese War?,"During the Second Sino-Japanese War in 1937, Japan's military invaded central China and by the end of the Pacific War, Japan had conquered much of the Far East, including Hong Kong, Vietnam, Cambodia, Myanmar, the Philippines, Indonesia, part of New Guinea and some islands of the Pacific Ocean.",1,4370
"What are the laws of physics of Galileo, in reference to objest in motion and rest?","In other words, to phrase matters more technically, the laws of physics are the same in every inertial frame of reference, that is, in all frames related by a Galilean transformation.",0,672
What was the name of the wife arranged for Temüjin by his father?,"Temüjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12.",1,1096
How many times did Newcastle fight off the Scots during the 14th century?,"Newcastle was successfully defended against the Scots three times during the 14th century, and was created a county corporate with its own sheriff by Henry IV in 1400.",0,926
One strategy of Islamization is to seize power by what methods?,"at one end is a strategy of Islamization of society through state power seized by revolution or invasion; at the other ""reformist"" pole Islamists work to Islamize society gradually ""from the bottom up"".",0,2109
What Republic has maintained its control of Iran?,"The Islamic Republic has also maintained its hold on power in Iran in spite of US economic sanctions, and has created or assisted like-minded Shia terrorist groups in Iraq, Egypt, Syria, Jordan (SCIRI) and Lebanon (Hezbollah) (two Muslim countries that also have large Shiite populations).",0,1884
Which leading English tapestry workshop in the late 17th century and early 18th century is represented in the V&A collection?,Also included are tapestries from John Vanderbank's workshop which was the leading English tapestry manufactory in the late 17th century and early 18th century.,0,3438
What denomination is the Diocesan School for Girls in Auckland affiliated with?,"Private schools are often Anglican, such as King's College and Diocesan School for Girls in Auckland, St Paul's Collegiate School in Hamilton, St Peter's School in Cambridge, Samuel Marsden Collegiate School in Wellington, and Christ's College and St Margaret's College in Christchurch; or Presbyterian, such as Saint Kentigern College and St Cuthbert's College in Auckland, Scots College and Queen Margaret College in Wellington, and St Andrew's College and Rangi Ruru Girls' School in Christchurch.",0,5270
