review,sentiment
"The powerhouse cast pulls the crowd in the theatre , despite the ominous title . Jake Gyllenhaal guested on Conan O'Brien to promote the movie and explained that 'Rendition ' was a euphemism for obtaining information via torture . Since 9/11 , 'extraordinary rendition ' allowed the government 's intelligence agency to extricate people unquestioningly without due process and use any means necessary in exchange for information . Gyllenhaal plays rookie CIA analyst Douglas Freeman ( note the irony ) who is torn about his assignment which renders him as a mere observer to unorthodox interrogation proceedings at an underground detention facility outside the US . Omar Metwally plays the suspected terrorist Anwar El-Ibrahimi , Egyptian national and green card-carrying hubby of American Isabella Fields El-Ibrahimi ( Reese Witherspoon ) . Isabella and her son wait for Anwar to come home from a scientific conference when he suddenly disappears from the plane 's passenger manifest . She seeks help from her college friend who works in government and learns that the Head of Intelligence , Corrine Whitman ( Meryl Streep ) is behind it all . Rendition is directed by Hollywood newbie Gavin Hood ( who is set to do X-Men Origins : Wolverine ) , and begs the question of whether such 'extraordinary rendition ' is exercised in real life . The movie was released locally in the wake of the Glorietta explosion ( bombing/mishap ? ) , and a pivotal scene in the movie is when a bomb explodes in a public plaza , so that must have sent chills up every moviegoer 's spine . Seeing the exploding tableau with a lone red and yellow sign Aajala ( Ayala ? ) on the upper right hand of the screen , plus the effect of silence and slow-moving images magnified the impact of the scene 's real-life coincidence . There are lessons to learn from this movie and it all boils down to personal decisions we make , daily . We all have choices we can exercise at will , and we often do not always ( want to ) see how these affect others , who may end up as hapless victims of circumstance . What 'the greater good ' is should not have to be a forced choice our leaders have to take if we each already decide correctly at the source . Now that 's a utopia worth building .",1
"The movie starts in spring 2001 . A soldier named John Tyree ( Channing Tatum ) falls in love with college student Savannah Cutis ( Amanda Seyfried ) while on break . Within the space of two weeks they fall madly in love with each other ( ! ) . But he has to go off to war and she has to go to college . They do but keep in touch by writing to each other . Then 9/11 happens . He wants to reenlist -- she wants him to stay home . What will they do ? Hysterically bad romantic drama . The leads ARE attractive -- Tatum is certainly a handsome man with beautiful green eyes and a hot body ( he 's introduced walking shirtless out of the water after surfing ) ... but he ca n't act . Seyfried is a beautiful woman and she tries ... but the dialogue here is horrible . When I saw it me and a friend of mine were fighting hard NOT to laugh out loud at some of the `` romantic '' dialogue at the beginning . It was just HORRIBLE . For the first hour or so I was either bored by the ridiculously predictable drama or amused by the horrendous `` romance '' . Then , after that first hour , tragedy kicks in and , I must admit , had me in tears . However the filmmakers go out of their way to make sure that you 're crying with death , funerals and meetings with people breaking down in tears . How can you NOT cry ? This would have worked if the acting were better . Tatum 's face never changes expression -- not ONCE ! He always had a blank look on his face . Seyfried was a LITTLE better but not much . To make it worse Tatum and Seyfried had no sexual chemistry on screen at all ! They barely looked like they liked each other let alone love each other . There was some beautiful photography of the Carolinas but this is a boring and stupid romantic `` drama '' . A 1 all the way ... and I usually love silly romantic dramas like this !",0
"This movie is one of my all time favorite movies and is what made me a lifelong Nicolas Cage fan . Back in the mid-80 's I taped this movie ( when VCR 's were impossible to do this with ! ! ) and would watch it over and over . Nicolas Cage is just brilliant here . And , he looks wonderful and has no affecting `` acting-isms '' ( see `` Peggy Sue Got Married '' to know what I mean about that ! ! ) . I measure all his performances against this one . He was so perfectly cast as the cool punk guy with the edgy friends . The music was GREAT . The Plimsouls ! The Psychodelic Furs ! Modern English ! Men At Work ! Whenever I hear `` Melt With You '' I am taken back to the finale of this movie . What ever happened to his cute costar , Deborah Foreman ? And his hysterical friend , Cameron Dye ? Certainly took a different turn than Nicolas ! Interestingly , the slutty friend ( Elizabeth Daily ) ended up being the voice of Tommy from the Rugrats ( she is billed as E.G . Daily for that horrid show ) ! Bizarre ! IF you want to take a great trip back to the 80 's , watch this movie . It is definitely a classic . Like Totally !",1
"Absolute grabber of a movie , and given its age , years ahead of its time . I first saw this the week my dad came home with a neighbor 's TV , that the guy had thrown on the scrap heap . A tinkerer with all things electrical , dad had it working inside two days . This was July 1955 ... and then probably only the third house in the street to HAVE television ! Pretty much the first thing we ever saw on that grainy and flickering old 12-inch screen was THIS film . `` It 's pretty OLD dear , '' I recall my mom telling me ! Almost 50 years on , and it does n't seem any older - rather like World War I in that respect ! Terrific little fantasy about a London omnibus carrying thirteen passengers , that crashes , killing one of their number . Then , in flashback we pick up on the lives of these people and what brought them to being on this bus that very day . Returning to the crash at the end of the film , the victim 's identity is revealed , perhaps the inspiration behind the 1960 movie THE LIST OF ADRIAN MESSENGER . If ever you come across this little gem , I suggest you watch it !",1
"at least for me . and rather unexpected -as subject . a movie that makes you question your beliefs , your life , your approach on everything . that helps you see the world you , we live in through a lens - or a multitude of lens ... a moving , surprising and haunting movie . and it benefits of one of the best performances ever from Kevin Spacey . seconded very well by Jeff Bridges . there is n't a false note in this tango . it 's a perfect dance . perfect 'till the end . what does the ending reveal ? well ... everything you want it to ... a movie one will want to see again . maybe not right away . maybe after a few days . months . years . but it 's something to go - or come - back to .",1
"Hartley on low-key form : Martin Donovan , born to play Jesus , comes as Messiah to millenial Manhatten ; P.J . Harvey is excellent as sidekick Magdelena . A slight film , but drily amusing , short and sweet .",1
"I remember flipping through channels on HBO and saw this . This , my friends , is one of the worst TV movies I 've ever seen . There is no excitement in this film . The story starts out with Drew Summers ( Candice Cameron Bure ) driving to a small town while in a trance . She stays with a couple who coincidentally , had a daughter named Laura Fairgate who looked exactly like her and is played by the same actress . Even the townsfolk agree that they looked alike . Thing is , Laura was killed over a year ago . Her boyfriend went missing around the same time she was murdered , making it look like he had killed her . While settling in this town for a while , Drew starts to have visions and nightmares . These visions and nightmares might prove that the boyfriend of Laura is n't the killer after all . Throughout the film , you find out that Ray Ordwell Sr. ( Denis Arndt ) is the one that raped her frequently over a period of time and killed her . The movie is too long and very boring . The film just drags on and on and on and on . Amazingly , I saw another TV movie after this called ( Cloned ) 1997 which was good but I 'll review that one later . I give this movie 1 star out of 10 . Avoid this TV movie . It is not worth your time . This is the worst TV movie of 1997 !",0
"As I looked at this movie once again , I think it belongs among Hitchcock 's greatest films . The first time I saw it I was just blown away by the suspense , action and imagery . It has the gripping ending , the deranged murderer , the innocent man framed or victimized by circumstances , some great on-location shots , e.g . the Jefferson Memorial in Washington and Penn Central in New York . It also has great supporting actors with Hitch 's daughter Patricia in the role of the younger sister to Ruth Roman and the stalwart Leo G. Carroll in another of his Hitchcock movies . The merry-go-round episode near the end is one of the most nerve-wracking in Hitchcock 's body of work . Robert Walker as Bruno Anthony ( his last full film ) gives a great performance as the deranged stranger on the train , who worms himself into the life of the unsuspecting tennis star , Guy Haines ( Farley Granger ) . Granger plays the nice guy who is caught up in a messy divorce . The movie opens with the camera showing the shoes of two separate men as they leave their taxis to board the train . Eventually , they meet and the story takes over . The stranger takes an unusual interest in the tennis star and as the movie continues , the stranger becomes a stalker . The action shifts from place to place , including Washington , the fictional small town of Metcalf , the Forest Hills tennis championship , and a passenger train taking the two leading men back and forth on separate missions . Towards the end , the pace of a tennis game is woven into the plot as they race against time . The camera cuts away to the faces of the athletes as they volley and serve in a remarkable series of shots . When the closely-fought contest is over , the climactic chase takes place . Hitchcock has a love for trains and it is great to see Penn Station , long since gone . Trains are featured in the 39 Steps , the Lady Vanishes , Shadow of a Doubt , Spellbound , North by Northwest and this movie . This classic Hitchcock thriller took place at the start of a period of great creativity for the master of suspense - the 1950 's and I am convinced that one day it will be given its due in the Hitchcock hall of fame .",1
"I ca n't explain it , but I find this movie not only funny , but so enjoyable I feel compelled to watch it over and over , or at least I did when I had cable TV . I always felt it was a really poorly made movie , but perhaps that is because I watched it on cable . I plan to get a DVD of this movie to really take an honest look at at , but more importantly to just have a good time watching it . I liked the plot and the idea of the movie and I especially liked the cast . I always wonder if the cast enjoyed making the movies they are in and this is no exception . This film deserved a better fate than it received and Kelsey Grammar deserved at least one love scene with Ms. Holly . Who would n't ? The characters in this movie were the kind of guys I could identify with when I was in the military and the zaniness was exact . Nice going troops .",1
"I 'm sorry , ELO fans , but I was disappointed with this concert at the CBS Television City in Los Angeles . It 's decent music-wise , but the presentation is simply boring - big-time . Most of the songs sound the same and lead singer-writer Jeff Lynne is about as animated as a store mannequin . He has a pleasant voice , but he is n't much to watch . He just stands in one spot and sings for an hour and 40 minutes . The songs all sound like 1970s-1980s bubblegum stuff : pleasant but not exciting . Lynn is accompanied by a very pretty woman , Rosie Vela , but she is n't too animated , either . The only song - out of 23 - that creates any excitement is the last one : `` Roll Over Beethoven . '' Now if only some of the other 22 songs had that excitement to them , this could have been a much better concert DVD .",0
"I 'm torn about this show . While MOST parts of it I found to be HILARIOUS , other parts of it I found to be stupid and simply shock for shock sake . The off the wall parody of some of the cartoons are brilliant as indeed are a lot of the scenes with the children . However , I do n't think it 's clever getting little children to say rude things . It 's not that I think `` oh poor children , they 're being exploited '' - it 's just that it 's really not clever ! ! It 's something that ANYONE could do , therefore making it as simple and pointless as making a paper airplane . In order to make this show better they would have to stick to the natural responses from children , which I think can be funnier than the scripted at time . By far the funniest part of Wonder Showzen is Clarence , the blue puppet who wonders around the streets talking to and annoying strangers . It 's really funny and it 's mostly improvised . Seeing him in a long scene about the importance of patience test the patience of an EXTREMELY patient man , was by far the funniest scene in my opinion . You should watch this show though because all in all it 's very funny , even if it is stupid at times .",1
"Uma and Travolta were very good together , but - unfortunately - when they left the screen , the movie was nothing but a bunch of very boring and wordy secondary characters wrapped in some extremely bad writing . Occasional glimpses of greatness like the dance scene between Uma and Travolta quickly eroded when the likes of Harvey Keitel and similar uninteresting thugs came on . And the white dude who tried to act black got VERY , VERY tiresome after way too much exposure in the picture . He weighed down a fairly good performance by the Rock , the only secondary character who you could n't wait to see leave the screen . Bad , dumb plot . The writers clearly could n't figure out if they writing to Generation X or the 12-15 year old rap crowd , and the combination turned into a film that kept me staring at my watch !",0
"Well , for a start , I must say that , here , in Russia , a saga of Geralt of Rivia is known and loved . Andrzej Sapkowski - a gifted writer , or , maybe , even genius of some sort - created one of the most realistic , honest , cynical and God d @ mn well written fantasy worlds in a history of literature . And when such amazing material gets in a right hands well , see RPG game `` Witcher '' and you will understand what I am talking about . `` Vedmak\Wiedzmin '' is an excellent example of the opposite outcome . Lack of budget . Lack of directing . Lack of good script . These three whales of Disgusting Movie Making sunken this movie , ate it alive . Acting is good , sometimes even more than good but for god sake it can not save this project . I still have some faith though . I still hope that someday a new Vedmak movies will be created and entire world will see magnitude and breathtaking splendor of Sapkowski 's books . p.s . But before that a Uwe Boll must be eliminated . Just in case , you know",0
"Like many situation comedies , `` The War at Home '' is getting better with each episode . The characters are starting to become real and I believe them as a family . I agree with many that the first few episodes were not that funny ; I thought the show would be canceled for sure . But with the absences of `` Malcolm in the Middle '' and `` Arrested Development , '' `` War '' provides much needed live action comedy for FOX on Sunday nights . And when compared with the rest of the sitcoms airing right now `` War '' is an even better choice . Its appeal , at least for me , lies in its real situations . Teenagers have sex . Not every parent likes how their kids are turning out . Parents fight and call each other names . But rather than relying on being `` mean '' like many shows , everything is nice in the end which is the number one rule of a good sitcom . One detraction from the show is the narration during/in between scenes . The `` Arrested Development/Family Guy '' style of flashbacks work well enough but the narration can be too much . So anyone who needs something to watch on Sunday nights should check out `` The War at Home , '' especially considering what is on the other major networks at that time .",1
"Starring Tomas Milian and Manny Perez  'Washington Heights ' is a low budget drama set in a Latino neighborhood in NYC . A young comic-book artist ( Manny Perez ) wants to escape his Latino neighborhood . When his father is crippled by a robber 's gunshot , the young man is forced to run the family bodega . The movie was shot in a budget ( low resolution video and poor audio ) with low profile actors . The plot flowed well for 85 minutes but the last 5 minutes were just terrible . We do n't know for sure if Perez and his girlfriend remained together and if Angel ended-up in jail for the shooting . 4/10",0
"This movie had so much potential to be hilarious yet moving but fell way short of either . It had a great story line , it just was not executed as good as it could have been . The weird `` hallucinations '' during his sleep scenes made absolutely no sense and definitely was not needed , they made no impact nor did they enhance or lend any understanding of what was to come or happen . Jon Heder 's character was OK but could have been expanded upon more . He played the crappy part he was given at his best . The character was funny , but again , it fell short of what could have been . Mila 's character was perfect and her performance was spot on . In closing , the writing was horrible and more often than not , made no sense and his hallucinations did not fit with the movie at all . This movie , with better scripting and directing , could have been a contender to National Lampoon 's Vacation as far as funny , bad things happening to a person on a trip across America . Instead , it was only worthy of a second `` flush '' . If I would have seen this at the theater , I would have demanded my money back and boycotted the film . The only thing that this film did was waste an hour and a half of my life . It also managed to make all those involved in the movie look bad , simply because the movie was a stinker . I do not recommend this movie to anyone ! Ever !",0
"Underwoods goofy story about a young man ( Arquette ) who convinces his friends that they should kidnap Frank Sinatra Jr. ( Nicholas ) . The film is written ridiculously , direction is odd , dialogues are out of place and scrambled , the actors did n't do it much justice either , Arquette is annoying throughout , Ian Nicholas was nonexistent , Macy was decent , but only because hes a pretty good actor and probably just tried his best not to come out of this project with a totally embarrassing performance , he was at least tolerable . This is a stupid film in my eyes , boring at times , not entertaining , just a film that i would n't recommend to anybody . IMDb Rating : 5.5 , my rating : 4/10",0
"OK , why complain about this movie ? It 's fiction . Deal with it . If you want to see the biography , go watch it . This is an original , fictionalized version of what happened in Wisconsin . People who are obsessed will complain about this , as they do every other deviation of the facts . Sad but true . I think making Kane Hodder the man in which the film is named after was a great idea . I thought it was n't so good at first , I 'll be honest . But that just made it even scarier . If you like Kane Hodder , Ed Gein or movies based on real events , I think this is a good movie . But if you 're obsessed ( like some other people ) stay away from this movie and all others .",1
"It happens often , while growing up , a Hollywood movie impresses a youth . It not only lasts a lifetime , but inspire him to study ancient cultures as a career . Such was the case , with the 1954 film entitled `` The Egyptian . '' Audience were awed with the sets , costumes and great acting of this film , so much so , other films soon followed in like vain . This is the story of a young Egyptian boy who was left parent less soon after he was born . With such a dubious beginning , it is not hard to wonder why he will spend his life , asking questions . The boy Sinuhe , ( Sin-oh-way ) which means , 'He that is alone ' ( Edmund Purdom ) grows to manhood and continues asking why , even as he graduates from The School Of Life to become a physician . During his formative years he acquires a lifelong friend named Kaptah brilliantly played by ( Peter Ustinov ) , and Horemheb ( Victor Mature ) who raises from a simple officer of the guard to Commander of the Armies . His life offers everything from a quick rise in social status to condemned criminal , to outcast , a wondering healer , and eventually to a station in life he never expected . Fine acting goes to Jean Simmons as Merit , Michael Wilding as Akhnaton , Bella Darvi as the temptress , Nefer , and John Carradine as a memorable Grave robber . Tommy Rettig , plays Thoth , the son of the Egyptian . In his final years , 'He that is alone , ' finally discovers the answer he had been seeking all his life , which he bequeathes to his son , now in the care of his lifelong friend . Excellent Film ! * * * *",1
"Unconditional Love is one of the best movies I 've seen in a while . It 's an emotional roller-coaster . One of my favorite scenes is the pub scene . When Dirk tells Grace that he did n't want to go to the pub because the villagers do n't like him , you expect the worst . When the old woman holds her glass up and says 'To the Memory of Victor Fox and the whole pub follows suit , I wanted to cry . The funeral scene is hysterical ! Julie does it in her typical Julie Andrews style . Johnathan Pryce is excellent as Victor . Grace is one of Kathy Bates ' best roles . Meredith Eaton steals just about every scene that she is in . Rupert Everett does some of his finest work in Unconditional as Dirk . The Kiss between Rupert and Meredith took me to another bout of hysterics . In this day and age of Gay rights being questioned , I think this movie should be seen by all . As a gay Man in my late 40 's I have seen people lose everything when a loved one dies . So kudo 's to all involved in the making of this film .",1
"This is the lamest , crappiest , idiotic , stupid movies i ever saw in my entire life ... I ca n't believe there are directors who make these kinds of movies ... this movie is a disgrace to horror genre ... acting ? ? ? Oh ! no ! ! ! i could n't bear ... it 's full of anguish ... do n't ever watch this movie ... you 'll feel like u are being tortured to eternity ... please , save yourself from the horrible fate of watching this movie ... if you really want to live , do n't watch it ... there are very good horror movies ... this movie does n't deserve tat single vote too ... but , i hate to vote if I want to post my comments ...",0
